mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67													9	9
11	10	28	28	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	68													9	9
12	11	31	31	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	69									8					
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70									8					
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71									8					
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72									8					
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																		
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																	10	10
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73													10	10
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74													10	10
12	11	31	31	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	75													10	10
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	76									8					
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77									8					
13	12	35	35	0.0	1/4	1/4	Spanner	3/4	1	1	0													8			1		
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78									8			1		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79												1		
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																		
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																	11	11
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80													11	11
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81													11	11
13	12	34	34	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	82													11	11
14	13	37	37	0.0	0	0	Spanner	3/4	1	1	0																		
14	13	37	37	0.0	0	0	Spanner	3/4	1	1	0															0			
14	13	37	37	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	83		ornamentTrill									0			
14	13	77/2	77/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84									9					
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	85									9					
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	86									9					
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																		
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																	12	12
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87													12	12
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88													12	12
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	89														
15	14	81/2	81/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														2				
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	90									10	2				
15	14	41	41	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf													
15	14	41	41	0.0	1/4	1/4	Spanner	3/4	1	1	0																		
15	14	41	41	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	91														
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0																		
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0																	13	13
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	92													13	13
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93													13	13
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94													13	13
16	15	43	43	0.0	0	0	Dynamic	3/4	1	1	0					ff													
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	95									11					
16	15	87/2	87/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							poco rit.						11					
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	96									11					
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	97									11					
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	98									11					
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99														
16	15	183/4	183/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	100									12					
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0																		
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0																	14	14
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101													14	14
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102													14	14
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103													14	14
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	104														
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	105									13					
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	106		articAccentBelow												
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	107									14					
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0																		
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0																	15	15
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	108													15	15
17	16	47	47	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	109													15	15
18	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0					p													
18	17	49	49	0.0	0	0	StaffText	3/4	1	1	0							a tempo											
18	17	49	49	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	110									15					
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	111									15					
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	112									15					
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113									15					
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																		
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																	16	16
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114													16	16
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115													16	16
18	17	49	49	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	116													16	16
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117									15					
19	18	105/2	105/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													15	3				
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118									15	3				
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	119									15	3				
19	18	54	54	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120														
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																		
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																	17	17
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121													17	17
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122													17	17
19	18	52	52	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	123													17	17
20	19	55	55	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	124														
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	125														
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	126														
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	127														
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																		
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																	18	18
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	128													18	18
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129													18	18
20	19	55	55	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	130													18	18
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	131														
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	132														
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	133														
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	134														
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																		
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																	19	19
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135													19	19
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136													19	19
21	20	58	58	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	137													19	19
22	21	61	61	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	138														
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	139														
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	140														
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	141														
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																		
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																	20	20
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142													20	20
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143													20	20
22	21	63	63	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	144														
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	145														
23	22	65	65	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	146		articAccentAbove												
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0																	21	21
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	147													21	21
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148													21	21
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149													21	21
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150									16					
24	23	135/2	135/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													16	4				
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151		ornamentTrill							16	4				
24	23	68	68	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	152									16	4				
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	153									16	4				
24	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	154									16	4				
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	155										4				
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0																		
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0																	22	22
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	156													22	22
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157													22	22
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	158													22	22
25	24	70	70	0.0	0	0	Spanner	3/4	1	1	0																		
25	24	70	70	0.0	0	0	Spanner	3/4	1	1	0																2		
25	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	159									17			2		
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	160												2		
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																		
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																	23	23
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161													23	23
25	24	72	72	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162														
25	24	70	70	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	163														
26	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0					f													
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0																		
26	25	73	73	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	164									18					
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	165									18					
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	166									18					
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	167									18					
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																	24	24
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	168													24	24
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169													24	24
26	25	73	73	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	170													24	24
27	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	171		ornamentTrill							18					
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	172									18					
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	173									18					
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174														
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																		
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																	25	25
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	175													25	25
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176													25	25
27	26	76	76	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	177													25	25
28	27	79	79	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	178									19					
28	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	179									19					
28	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	180									19					
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	181									19					
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																		
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																	26	26
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	182													26	26
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	183													26	26
28	27	79	79	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	184													26	26
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	185		ornamentTrill							19					
29	28	165/2	165/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	186									19					
29	28	83	83	0.0	1/4	1/4	Spanner	3/4	1	1	0													19			3		
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	187									19			3		
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188												3		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																		
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																	27	27
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189													27	27
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190													27	27
29	28	82	82	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	191													27	27
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0																		
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0															1			
30	29	85	85	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	192		ornamentTrill									1			
30	29	173/2	173/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
30	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	193									20					
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	194									20					
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	195									20					
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0																		
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0																	28	28
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196													28	28
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197													28	28
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	198														
31	30	177/2	177/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														5				
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	199									21	5				
31	30	89	89	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf													
31	30	89	89	0.0	1/4	1/4	Spanner	3/4	1	1	0																		
31	30	89	89	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	200														
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0																	29	29
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0																	29	29
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	201													29	29
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	202													29	29
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	203													29	29
32	31	91	91	0.0	0	0	Dynamic	3/4	1	1	0					ff													
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	204									22					
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	205		ornamentTrill							22					
32	31	92	92	0.0	1/4	1/4	StaffText	3/4	1	1	0							poco rit.						22					
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	206									22					
32	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	207									22					
32	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	208														
32	31	375/4	375/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	209									23					
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0																		
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0																	30	30
