mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	HairPin:2_poco riten.	decrescendo_hairpin	crescendo_hairpin	diminuendo_line	HairPin:3_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>
28	27	79	79	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	249										0							
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	250									33	0							
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	251									33	0							
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																					
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																				5	5
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	252																5	5
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253																5	5
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254																5	5
29	28	82	82	0.0	0	0	Spanner	3/4	1	1	0													32								
29	28	82	82	0.0	0	0	Spanner	3/4	1	1	0													32				6				
29	28	82	82	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	255									32				6				
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	256									32				6				
29	28	83	83	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	257									32				6				
29	28	82	82	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	258													6				
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																					
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																				6	6
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	259																6	6
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	260									34							6	6
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	2	1	0													34								
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261									34								
30	29	85	85	0.0	0	0	Dynamic	3/4	1	1	0					f																
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0																					
30	29	85	85	0.0	0	0	Spanner	3/4	1	1	0																3					
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	262									35			3					
30	29	86	86	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	263									35			3					
30	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	264									35			3					
30	29	87	87	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	265									35			3					
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	266									35			3					
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	267																	
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	268																	
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	269																	
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	270									35			3					
31	30	89	89	0.0	1/4	1/4	Dynamic	3/4	1	1	0					mf								35								
31	30	89	89	0.0	1/4	1/4	Spanner	3/4	1	1	0													35								
31	30	89	89	0.0	1/4	1/4	Spanner	3/4	1	1	0													35					0			
31	30	89	89	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	271									35					0			
31	30	359/4	359/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	272									35					0			
31	30	90	90	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	273									35					0			
31	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	274									35					0			
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	275																	
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	276																	
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277																	
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	278									35					0			
32	31	92	92	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	279									35					0			
32	31	371/4	371/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	280									35					0			
32	31	93	93	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	281									35					0			
32	31	375/4	375/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	282									35					0			
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	283																	
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	284																	
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	285																	
33	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	286									35					0			
33	32	95	95	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	287									35					0			
33	32	383/4	383/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	288									35					0			
33	32	96	96	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	289									35					0			
33	32	387/4	387/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	290									35					0			
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	291																	
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292																	
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293																	
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	294									35					0			
34	33	98	98	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	295									35					0			
34	33	395/4	395/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	296									35					0			
34	33	99	99	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	297									35					0			
34	33	399/4	399/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	298									35					0			
34	33	97	97	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	299																	
35	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	300									35					0			
35	34	101	101	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	301									35					0			
35	34	407/4	407/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	302									35					0			
35	34	102	102	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	303									35					0			
35	34	411/4	411/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	304									35					0			
35	34	100	100	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	305														0			
35	34	100	100	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	306																	
36	35	103	103	0.0	0	0	Dynamic	3/4	1	1	0					pp								35								
36	35	103	103	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=105	105.0	𝅘𝅥	105.0	0.0	35								
36	35	103	103	0.0	0	0	Spanner	3/4	1	1	0													35								
36	35	103	103	0.0	0	0	Spanner	3/4	1	1	0													35				7				
36	35	103	103	0.0	0	0	Spanner	3/4	1	1	0													35	1	1		7				
36	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	307									35	1	1		7				
36	35	104	104	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	35	1	1		7				
36	35	104	104	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	308									35	1	1		7				
36	35	419/4	419/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	309									35	1	1		7				
36	35	105	105	0.0	1/2	1/2	Dynamic	3/4	1	1	0					mp								35	1	1						
36	35	105	105	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=95	95.0	𝅘𝅥	95.0	0.0	35	1	1						
36	35	105	105	0.0	1/2	1/2	Spanner	3/4	1	1	0													35	1	1						
36	35	105	105	0.0	1/2	1/2	Spanner	3/4	1	1	0													35	1	1	4					
36	35	105	105	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	310									35	1	1	4					
36	35	423/4	423/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	311									35	1	1	4					
36	35	103	103	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	312										1	1	4					
36	35	103	103	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	313																	
37	36	106	106	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0	35	1	1	4					
37	36	106	106	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	314									35	1	1	4					
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	315										1	1	4					
38	37	109	109	0.0	0	0	Dynamic	3/4	1	1	0					p																
38	37	109	109	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=108	108.0	𝅘𝅥	108.0	0.0									
38	37	109	109	0.0	0	0	Spanner	3/4	1	1	0																					
38	37	109	109	0.0	0	0	Spanner	3/4	1	1	0																					
38	37	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	316									36								
38	37	219/2	219/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	317									36								
38	37	219/2	219/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	318									36								
38	37	110	110	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	319									36, 37								
38	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	320									36, 37								
38	37	111	111	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	321									36								
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	322									36								
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	323																	
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	324																	
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	325									38								
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	326																	
39	38	112	112	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	327									36								
39	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	328									36								
39	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	329									36								
39	38	113	113	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	330																	
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	331		articStaccatoBelow															
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	332		articStaccatoBelow															
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	333		articStaccatoAbove															
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334		articStaccatoAbove															
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	335									39								
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	336									39								
40	39	116	116	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	337									39								
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	338									39								
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	339									39								
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	340									39								
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	341		articStaccatoBelow															
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	342		articStaccatoBelow															
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	343		articStaccatoAbove															
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	344		articStaccatoAbove															
41	40	118	118	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	345									39								
41	40	237/2	237/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	346									39								
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	347																	
41	40	119	119	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	348		articStaccatoBelow															
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	349		articStaccatoBelow															
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	350		articStaccatoAbove															
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	351		articStaccatoAbove															
42	41	121	121	0.0	0	0	Dynamic	3/4	1	1	0					f																
42	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	352									40								
42	41	243/2	243/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	353									40								
42	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	354									40								
42	41	122	122	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	355									40, 41								
42	41	245/2	245/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	356									40, 41								
42	41	123	123	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	357									40								
42	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	358									40								
42	41	122	122	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	359																	
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	360																	
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	361									42								
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	362																	
43	42	124	124	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	363									40								
43	42	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	364									40								
43	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	365									40								
43	42	125	125	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	366									43								
43	42	126	126	0.0	1/2	1/2	Spanner	3/4	1	1	0													43			5					
43	42	125	125	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	367		articStaccatoBelow										5					
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	368		articStaccatoBelow										5					
43	42	125	125	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	369																	
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	370									44								
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	371									44								
44	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	372									43			5					
44	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	373									43			5					
44	43	128	128	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	374									43			5					
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	375									43			5					
44	43	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	376									43			5					
44	43	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	377									43			5					
44	43	127	127	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	378												5					
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	379												5					
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	380												5					
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	381																	
44	43	127	127	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	382									44								
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	383									44								
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	384																	
45	44	130	130	0.0	0	0	Spanner	3/4	1	1	0																					
45	44	130	130	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	385																	
45	44	131	131	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	386									45								
45	44	132	132	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	387									45								
45	44	265/2	265/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	388																	
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	389									46								
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	390																	
46	45	133	133	0.0	0	0	Dynamic	3/4	1	1	0					p																
46	45	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	391									47								
46	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	392		ornamentShortTrill							47, 48								
46	45	134	134	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	393									47								
46	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	394									47								
46	45	135	135	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	395									47								
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	396									47								
46	45	133	133	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	397																	
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398																	
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399																	
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	400																	
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	401																	
47	46	136	136	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	402									47								
47	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	403									47								
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404									47								
47	46	137	137	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	405																	
47	46	137	137	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	406		articStaccatoBelow															
47	46	138	138	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	407		articStaccatoBelow															
47	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	408		articStaccatoAbove															
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	409		articStaccatoAbove															
48	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	410									49								
48	47	279/2	279/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	411									49								
48	47	140	140	0.0	1/4	1/4	Spanner	3/4	1	1	0													49				8				
48	47	140	140	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	412									49				8				
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	413									49				8				
48	47	141	141	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	414									49				8				
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	415									49				8				
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	416		articStaccatoBelow											8				
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	417		articStaccatoBelow											8				
48	47	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	418		articStaccatoAbove															
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	419		articStaccatoAbove															
49	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	420									49				8				
49	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	421									49				8				
49	48	143	143	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	422													8				
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	423		articStaccatoBelow											8				
49	48	144	144	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	424		articStaccatoBelow											8				
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	425		articStaccatoAbove															
49	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	426		articStaccatoAbove															
50	49	145	145	0.0	0	0	Dynamic	3/4	1	1	0					f																
50	49	145	145	0.0	0	0	Spanner	3/4	1	1	0																					
50	49	145	145	0.0	0	0	Spanner	3/4	1	1	0																6					
50	49	145	145	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	427									50			6					
50	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	428									50			6					
50	49	146	146	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	429									50			6					
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	430									50			6					
50	49	147	147	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	431									50			6					
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	432									50			6					
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	433		articStaccatoBelow										6					
50	49	147	147	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	434		articStaccatoBelow										6					
50	49	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	435		articStaccatoAbove							51								
50	49	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	436		articStaccatoAbove															
51	50	148	148	0.0	0	0	Dynamic	3/4	1	1	0					mp								50								
51	50	148	148	0.0	0	0	Spanner	3/4	1	1	0													50								
51	50	148	148	0.0	0	0	Spanner	3/4	1	1	0													50					1			
51	50	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	437									50					1			
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	438									50					1			
51	50	149	149	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	439									50					1			
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	440									50					1			
51	50	150	150	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	441									50					1			
51	50	301/2	301/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	442									50					1			
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	443		articStaccatoBelow												1			
51	50	150	150	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	444		articStaccatoBelow												1			
51	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	445		articStaccatoAbove							52								
51	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	446		articStaccatoAbove															
52	51	151	151	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=105	105.0	𝅘𝅥	105.0	0.0	50					1			
52	51	151	151	0.0	0	0	Spanner	3/4	1	1	0													50					1, 2	2		
52	51	151	151	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	447									50					1, 2	2		
52	51	303/2	303/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	448									50					1, 2	2		
52	51	152	152	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	50					1, 2	2		
52	51	152	152	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	449									50					1, 2	2		
52	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	450									50					1, 2	2		
52	51	153	153	0.0	1/2	1/2	Tempo	3/4	1	1	0								𝅘𝅥=95	95.0	𝅘𝅥	95.0	0.0	50					1, 2	2		
52	51	153	153	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	451									50					1, 2	2		
52	51	307/2	307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	452									50					1, 2	2		
52	51	151	151	0.0	0	0	Spanner	3/4	2	1	0																				7	7
52	51	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453																7	7
52	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	454									53							7	7
52	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	455									53							7	7
53	52	154	154	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0	50					1, 2	2		
53	52	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	456									50					1, 2	2		
53	52	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	457									50					1, 2	2		
53	52	155	155	0.0	1/4	1/4	Tempo	3/4	1	1	0								𝅘𝅥=85	85.0	𝅘𝅥	85.0	0.0						1, 2	2		
53	52	155	155	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	458														1, 2	2		
53	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	459									53							7	7
53	52	155	155	0.0	1/4	1/4	Spanner	3/4	2	1	0													53								
53	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	460									53								
53	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	461																	
54	53	157	157	0.0	0	0	Dynamic	3/4	1	1	0					pp																
54	53	157	157	0.0	0	0	Spanner	3/4	1	1	0																					
54	53	157	157	0.0	0	0	Spanner	3/4	1	1	0																					
54	53	157	157	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	462																	
54	53	157	157	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	463									54								
54	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	464									54								
54	53	158	158	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	465																	
54	53	157	157	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	466									55								
54	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	467									55								
54	53	158	158	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	468																	
