mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal
15	14	81/2	81/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	83									9					
15	14	41	41	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	84									9					
15	14	83/2	83/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	85									9					
15	14	42	42	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	86									9					
15	14	85/2	85/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	87														
15	14	40	40	0.0		0	0	Spanner	3/4	2	1	0																		
16	15	43	43	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	88									10					
16	15	87/2	87/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89									10					
16	15	44	44	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	90									10					
16	15	89/2	89/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	91									10					
16	15	45	45	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	92									10					
16	15	91/2	91/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93									10					
16	15	43	43	0.0		0	0	Spanner	3/4	2	1	0																		12
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	94														12
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95														12
16	15	45	45	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96														
17	16	46	46	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	97														
17	16	48	48	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	98														
17	16	46	46	0.0		0	0	Spanner	3/4	2	1	0																		13
17	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	99														13
17	16	47	47	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	100														13
18	17	49	49	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	101									11					
18	17	101/2	101/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	102									11					
18	17	51	51	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	103									11					
18	17	103/2	103/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	104									11					
18	17	49	49	0.0		0	0	Spanner	3/4	2	1	0																		
18	17	49	49	0.0		0	0	Spanner	3/4	2	1	0																		14
18	17	49	49	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	105														14
18	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106														14
18	17	51	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107														14
19	18	52	52	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	108									11					
19	18	157/3	157/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	109									11					
19	18	158/3	158/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	110									11					
19	18	53	53	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	111									11					
19	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112														
19	18	52	52	0.0		0	0	Spanner	3/4	2	1	0																		
19	18	53	53	0.0		1/4	1/4	Spanner	3/4	2	1	0																		15
19	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113														15
19	18	54	54	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114		articAccentAbove												15
20	19	55	55	0.0		0	0	Spanner	3/4	1	1	0														0				
20	19	55	55	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	115									12	0				
20	19	113/2	113/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	116									12	0				
20	19	57	57	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117									12	0				
20	19	115/2	115/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118									12	0				
20	19	55	55	0.0		0	0	Spanner	3/4	2	1	0																		
20	19	55	55	0.0		0	0	Spanner	3/4	2	1	0																		16
20	19	55	55	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	119														16
20	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	120														16
20	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121														16
21	20	58	58	0.0		0	0	Spanner	3/4	1	1	0													12					
21	20	58	58	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	122									12					
21	20	175/3	175/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	123									12					
21	20	176/3	176/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	124									12					
21	20	59	59	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	125									12					
21	20	60	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126														
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0																		
21	20	58	58	0.0		0	0	Spanner	3/4	2	1	0																		17
21	20	58	58	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	127														17
21	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	128														17
21	20	60	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129		articAccentAbove												17
22	21	61	61	0.0		0	0	Spanner	3/4	1	1	0																	1	
22	21	61	61	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	130									13				1	
22	21	125/2	125/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131									13				1	
22	21	63	63	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132									13				1	
22	21	127/2	127/2	0.0		5/8	5/8	Dynamic	3/4	1	1	0					p								13					
22	21	127/2	127/2	0.0		5/8	5/8	Spanner	3/4	1	1	0													13					
22	21	127/2	127/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133									13					
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0																		
22	21	61	61	0.0		0	0	Spanner	3/4	2	1	0																		18
22	21	61	61	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	134														18
22	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135														18
23	22	64	64	0.0		0	0	Spanner	3/4	1	1	0													13				2	
23	22	64	64	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	136									13				2	
23	22	129/2	129/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	137									13				2	
23	22	65	65	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	138									13				2	
23	22	131/2	131/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	139									13				2	
23	22	66	66	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	140									13				2	
23	22	133/2	133/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	141													2	
23	22	64	64	0.0		0	0	Spanner	3/4	2	1	0																		
23	22	64	64	0.0		0	0	Spanner	3/4	2	1	0																		19
23	22	64	64	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	142														19
23	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143														19
23	22	66	66	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144														19
24	23	67	67	0.0		0	0	StaffText	3/4	1	1	0							poco riten.											
24	23	67	67	0.0		0	0	StaffText	3/4	1	1	0							delicatiss.											
24	23	67	67	0.0		0	0	Spanner	3/4	1	1	0																		
24	23	67	67	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	145		articAccentAbove							14					
24	23	68	68	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146									14					
24	23	137/2	137/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147									14					
24	23	69	69	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148									14					
24	23	139/2	139/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149									14					
24	23	67	67	0.0		0	0	Spanner	3/4	2	1	0																		
24	23	67	67	0.0		0	0	Spanner	3/4	2	1	0																		20
24	23	67	67	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	150														20
24	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	151														20
24	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152														20
25	24	70	70	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	153									14					
25	24	141/2	141/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	154									14					
25	24	71	71	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155									14					
25	24	143/2	143/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156									14					
25	24	72	72	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	157									14					
25	24	145/2	145/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	158														
25	24	70	70	0.0		0	0	Spanner	3/4	2	1	0																		
25	24	70	70	0.0		0	0	Spanner	3/4	2	1	0																		21
25	24	70	70	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	159														21
25	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160														21
26	25	73	73	0.0		0	0	StaffText	3/4	1	1	0							a tempo											
26	25	73	73	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	161									15					
26	25	149/2	149/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162									15					
26	25	75	75	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163									15					
26	25	151/2	151/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164									15					
26	25	73	73	0.0		0	0	Spanner	3/4	2	1	0																		
26	25	73	73	0.0		0	0	Spanner	3/4	2	1	0																		22
26	25	73	73	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	165														22
26	25	74	74	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166														22
26	25	75	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167														22
27	26	76	76	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	168									15					
27	26	229/3	229/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	169									15					
27	26	230/3	230/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	170									15					
27	26	77	77	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	171									15					
27	26	78	78	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	172														
27	26	76	76	0.0		0	0	Spanner	3/4	2	1	0																		
27	26	76	76	0.0		0	0	Spanner	3/4	2	1	0																		23
27	26	76	76	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	173														23
27	26	77	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174														23
27	26	78	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175		articAccentAbove												23
28	27	79	79	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	176									16					
28	27	161/2	161/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	177									16					
28	27	81	81	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	178									16					
28	27	163/2	163/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	179									16					
28	27	79	79	0.0		0	0	Spanner	3/4	2	1	0																		
28	27	79	79	0.0		0	0	Spanner	3/4	2	1	0																		24
28	27	80	80	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180														24
28	27	81	81	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181														24
29	28	82	82	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	182									16					
29	28	247/3	247/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	183									16					
29	28	248/3	248/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	184									16					
29	28	83	83	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	185									16					
29	28	84	84	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	186		articAccentAbove												
29	28	82	82	0.0		0	0	Spanner	3/4	2	1	0																		
29	28	82	82	0.0		0	0	Spanner	3/4	2	1	0																		25
29	28	82	82	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	187														25
29	28	83	83	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	188														25
29	28	84	84	0.0		1/2	1/2	Spanner	3/4	2	1	0																		
30	29	85	85	0.0		0	0	Spanner	3/4	1	1	0																0		
30	29	85	85	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	189									17			0		
30	29	171/2	171/2	0.0		1/8	1/8	Spanner	3/4	1	1	0													17					
30	29	171/2	171/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	190									17					
30	29	86	86	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	191									17					
30	29	173/2	173/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192									17					
30	29	87	87	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	193									17					
30	29	175/2	175/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194									17					
30	29	85	85	0.0		0	0	Spanner	3/4	2	1	0																		26
30	29	85	85	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	195														26
30	29	86	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196														26
31	30	88	88	0.0		0	0	StaffText	3/4	1	1	0							legatissimo						17					
31	30	88	88	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	197									17					
31	30	177/2	177/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198									17					
31	30	89	89	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	199									17					
31	30	179/2	179/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	200									17					
31	30	90	90	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201									17					
31	30	181/2	181/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202														
32	31	91	91	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	203									18					
32	31	183/2	183/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	204									18					
32	31	92	92	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	205									18					
32	31	185/2	185/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	206									18					
32	31	93	93	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	207									18					
32	31	187/2	187/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	208									18					
32	31	91	91	0.0		0	0	Spanner	3/4	2	1	0																		
32	31	91	91	0.0		0	0	Spanner	3/4	2	1	0																		27
32	31	91	91	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	209														27
32	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	210														27
32	31	93	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211														27
33	32		94	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	212									18					
33	32		189/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	213									18					
33	32		95	2.0	1	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	214														
33	32		94	0.0	1	0	0	Spanner	3/4	2	1	0																		
33	32		94	0.0	1	0	0	Spanner	3/4	2	1	0																		28
33	32		94	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	215														28
33	32		95	0.0	1	1/4	1/4	Spanner	3/4	2	1	0																		
33	32		95	0.0	1	1/4	1/4	Spanner	3/4	2	1	0																		29
33	32		95	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216														29
33	32		96	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217														29
34	32	94	97	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	218									19					
34	32	189/2	195/2	0.5	2	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	219									19					
34	32	95	98	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	220														
34	32	94	97	0.0	2	0	0	Spanner	3/4	2	1	0																		
34	32	94	97	0.0	2	0	0	Spanner	3/4	2	1	0																		30
34	32	94	97	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	221														30
34	32	95	98	0.0	2	1/4	1/4	Spanner	3/4	2	1	0																		
34	32	95	98	0.0	2	1/4	1/4	Spanner	3/4	2	1	0																		31
34	32	95	98	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222														31
34	32	96	99	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223														31
