mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96													
16	16	45	45	0.0	0	0	StaffText	3/4	1	1	0							ten.										
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	97		articAccentAbove											
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98													
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99													
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100													
17	17	49	49	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p												
17	17	49	49	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	101													
17	17	49	49	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	102													
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	103													
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	104													
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105													
18	18	51	51	0.16666666666666666	0	0	Chord	3/4	1	1	1/24		1/16	2/3	106									10				
18	18	307/6	307/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	107									10				
18	18	154/3	154/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	108									10				
18	18	103/2	103/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	109									10				
18	18	155/3	155/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	110									10				
18	18	311/6	311/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	111									10				
18	18	52	52	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	112													
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113													
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114													
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115													
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	116													
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117													
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	118		ornamentShortTrill							11				
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120									12				
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																0	0
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	121												0	0
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	122												0	0
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	123												0	0
20	20	57	57	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	124													
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																	
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																1	1
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125												1	1
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126												1	1
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127												1	1
21	21	60	60	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	128									13				
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	129									13				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	130													
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	131													
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																	
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	132													
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133													
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134													
22	22	63	63	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	135									14				
22	22	63	63	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	136									14				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	137									14				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	138													
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	139													
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	140													
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141													
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	142		ornamentShortTrill							15				
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	143									15				
23	23	67	67	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	144		articStaccatoAbove							15				
23	23	202/3	202/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	145		articStaccatoAbove							15				
23	23	203/3	203/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	146		articStaccatoAbove							15				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	147		articStaccatoAbove											
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	148									16				
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149													
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150													
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151													
24	24	69	69	0.0	0	0	StaffText	3/4	1	1	0							ten.										
24	24	69	69	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	152		articAccentAbove											
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153													
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154													
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155													
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0					p												
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	156									17				
25	25	73	73	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	157													
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	158													
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159													
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160													
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	161									18				
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	162													
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	163													
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	164													
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	165													
27	27	78	78	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	166									19				
27	27	313/4	313/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	167		articAccentAbove											
27	27	79	79	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	168													
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169													
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170													
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171													
28	28	81	81	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	172									20				
28	28	325/4	325/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16		1/8	3/2	173		articAccentBelow											
28	28	82	82	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	174													
28	28	335/4	335/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	175													
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	176													
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	177													
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178													
29	29	84	84	0.16666666666666666	0	0	Chord	3/4	1	1	1/24		1/16	2/3	179									21				
29	29	505/6	505/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	180									21				
29	29	253/3	253/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	181									21				
29	29	169/2	169/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	182									21				
29	29	254/3	254/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	183									21				
29	29	509/6	509/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	184									21				
29	29	85	85	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	185									21				
29	29	256/3	256/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	186									21				
29	29	257/3	257/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	187									21				
29	29	86	86	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	188									21				
29	29	259/3	259/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	189									21				
29	29	260/3	260/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	190													
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																2	2
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	191												2	2
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	192												2	2
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	193												2	2
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	194									22				
30	30	87	87	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	195									22				
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	196									22				
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	197									22				
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	198													
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199													
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200													
31	31	90	90	0.2	0	0	Chord	3/4	1	1	1/20		1/16	4/5	201									22				
31	31	451/5	451/5	0.2	1/20	1/20	Chord	3/4	1	1	1/20		1/16	4/5	202									22				
31	31	452/5	452/5	0.2	1/10	1/10	Chord	3/4	1	1	1/20		1/16	4/5	203									22				
31	31	453/5	453/5	0.2	3/20	3/20	Chord	3/4	1	1	1/20		1/16	4/5	204									22				
31	31	454/5	454/5	0.2	1/5	1/5	Chord	3/4	1	1	1/20		1/16	4/5	205									22				
31	31	91	91	0.2	1/4	1/4	Chord	3/4	1	1	1/20		1/16	4/5	206									22				
31	31	456/5	456/5	0.2	3/10	3/10	Chord	3/4	1	1	1/20		1/16	4/5	207									22				
31	31	457/5	457/5	0.2	7/20	7/20	Chord	3/4	1	1	1/20		1/16	4/5	208									22				
31	31	458/5	458/5	0.2	2/5	2/5	Chord	3/4	1	1	1/20		1/16	4/5	209									22				
31	31	459/5	459/5	0.2	9/20	9/20	Chord	3/4	1	1	1/20		1/16	4/5	210									22				
31	31	92	92	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	211									22				
31	31	461/5	461/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	212									22				
31	31	462/5	462/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	213									22				
31	31	463/5	463/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	214									22				
31	31	464/5	464/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	215									22				
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	216													
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	217													
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	218													
32	32	93	93	0.0	0	0	StaffText	3/4	1	1	0							ten.										
32	32	93	93	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	219		articAccentAbove											
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	220													
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221													
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222													
33	33	97	97	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p												
33	33	97	97	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	223													
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	224													
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	225													
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226													
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227													
34	34	99	99	0.16666666666666666	0	0	Chord	3/4	1	1	1/24		1/16	2/3	228									23				
34	34	595/6	595/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	229									23				
34	34	298/3	298/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	230									23				
34	34	199/2	199/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24		1/16	2/3	231									23				
34	34	299/3	299/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24		1/16	2/3	232									23				
34	34	599/6	599/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24		1/16	2/3	233									23				
34	34	100	100	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	234													
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235													
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236													
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237													
35	35	102	102	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	238													
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	239		articStaccatissimoAbove											
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	240		ornamentShortTrill							24				
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	241													
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	242									25				
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	243													
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244													
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245													
36	36	105	105	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	246													
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	247		articAccentBelow							26				
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																3	3
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	248									27			3	3
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	249												3	3
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	250													
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	251									28				
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	252									28				
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	253									28				
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	254									28				
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																	
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																4	4
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	255									29			4	4
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	256												4	4
37	37	110	110	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	257		articStaccatoBelow											
38	38	111	111	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	258									28				
38	38	334/3	334/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	259									28				
38	38	335/3	335/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	260									28				
