mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0														
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0									2	2				
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18					2	2				
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19					2	2				
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20					2	2				
5	4	10	10	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	21										
5	4	10	10	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	22										
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0														
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0									3	3				
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	23					3	3				
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	24					3	3				
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25					3	3				
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	26				2						
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	27				2						
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28		ornamentShortTrill		2						
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29										
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0														
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0									4	4				
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30					4	4				
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	31					4	4				
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	32					4	4				
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	33				3						
7	6	33/2	33/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	34										
7	6	18	18	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35		articAccentAbove								
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0														
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0									5	5				
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36				4	5	5				
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37					5	5				
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	2	1	0														
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	38				5						
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39				5						
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40		ornamentShortTrill		5						
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41				5						
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	42				5						
9	8	23	23	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	43										
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	44				6						
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	45				6						
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	46				6						
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	47				7						
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48				7						
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	49				7						
10	9	25	25	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	50										
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	51		ornamentShortTrill		6						
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	52				6						
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	53										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54				8						
11	10	28	28	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	55				7						
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	56				7						
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58				9						
11	10	28	28	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	59										
12	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	60		ornamentShortTrill		8						
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	61				8						
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	62				8						
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	63				9						
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64				9						
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65				9						
12	11	31	31	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	66										
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67		ornamentShortTrill		8						
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68				8						
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	69										
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	70		articAccentAbove		10						
13	12	34	34	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	71				9						
13	12	69/2	69/2	1.5	1/8	1/8	Chord	3/4	2	1	3/8		1/4	3/2	72				9						
13	12	34	34	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	73										
13	12	35	35	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	74										
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75				10						
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	76				10						
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	77		ornamentShortTrill		10						
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	78				10						
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	79				10						
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0									6	6				
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80					6	6				
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81					6	6				
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82					6	6				
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	83										
15	14	40	40	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	84										
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0														
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0									7	7				
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85					7	7				
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86					7	7				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87					7	7				
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88				11						
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89				11						
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	90		ornamentShortTrill		11						
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	91				11						
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0														
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0									8	8				
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	92					8	8				
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	93					8	8				
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94					8	8				
17	16	46	46	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	95										
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	96										
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97		articAccentAbove		12						
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0														
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0									9	9				
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98					9	9				
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99					9	9				
17	16	48	48	0.0	1/2	1/2	Spanner	3/4	2	1	0														
18	17	49	49	0.0	0	0	StaffText	3/4	1	1	0							sotto voce	12						
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100				12						
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	101				12						
18	17	50	50	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	102				12						
18	17	151/3	151/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	103				12						
18	17	152/3	152/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	104				12						
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	105				12						
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	106				12						
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	107				13						
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108										
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109				14						
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	110				12						
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	111				12						
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	112				12						
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	113										
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	114				14						
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	115				14						
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	116										
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117				15						
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118				15						
20	19	56	56	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	119				15						
20	19	169/3	169/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	120				15						
20	19	170/3	170/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	121				15						
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	122				15						
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	123				15						
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124				16						
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125										
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	126				17						
21	20	58	58	0.0	0	0	Spanner	3/4	1	1	0								15			0			
21	20	58	58	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	127				15			0			
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128				15			0			
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	129				15			0			
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130				15			0			
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	131				17						
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	132				17						
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133										
22	21	61	61	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	134				15			0			
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	135				15			0			
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	136				15			0			
22	21	63	63	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	137				15			0			
22	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	138				15			0			
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	139				18						
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	140				18						
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141				18						
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	142				15			0			
23	22	65	65	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	143				15			0			
23	22	263/4	263/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	144				15			0			
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145				15			0			
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	146				18						
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	147				18						
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	148										
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0								15						
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0								15				0		
24	23	67	67	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	149				15				0		
24	23	67	67	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	150				19						
25	24	70	70	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	151								0		
25	24	70	70	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	152										
26	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0					p									
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0														
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	153				20						
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	154				20						
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	155		ornamentShortTrill		20						
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	156				20						
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	157				20						
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0									10	10				
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	158					10	10				
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159					10	10				
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160					10	10				
27	26	76	76	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	161										
27	26	76	76	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	162										
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0														
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0									11	11				
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	163					11	11				
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	164					11	11				
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	165					11	11				
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	166				21						
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	167				21						
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	168		ornamentShortTrill		21						
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	169				21						
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0														
28	27	79	79	0.0	0	0	Spanner	3/4	2	1	0									12	12				
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170					12	12				
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171					12	12				
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172					12	12				
29	28	82	82	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	173										
29	28	82	82	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	174										
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0														
29	28	82	82	0.0	0	0	Spanner	3/4	2	1	0									13	13				
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175					13	13				
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176					13	13				
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177					13	13				
30	29	85	85	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	178				22						
30	29	171/2	171/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	179				22						
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	180		ornamentShortTrill		22						
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	181										
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0									14	14				
30	29	85	85	0.0	0	0	Spanner	3/4	2	1	0									14	14				
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	182					14	14				
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183					14	14				
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184					14	14				
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	185				23						
31	30	177/2	177/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	186										
31	30	90	90	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	187		articAccentBelow		24						
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0														
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0									15	15				
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	188				25	15	15				
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189					15	15				
31	30	90	90	0.0	1/2	1/2	Spanner	3/4	2	1	0														
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	190				24						
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	191				24						
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	192		ornamentShortTrill		24						
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	193				24						
33	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	194				24						
33	32	95	95	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	195										
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196				26						
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	197				26						
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	198				26						
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199				27						
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200				27						
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201				27						
34	33	97	97	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	202										
35	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	203		ornamentShortTrill		26						
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	204				26						
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	205										
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	206				28						
35	34	100	100	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	207				27						
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	208				27						
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209										
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210				29						
35	34	100	100	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	211										
36	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	212		ornamentShortTrill		28						
36	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213				28						
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	214				28						
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	215				29						
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216				29						
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217				29						
36	35	103	103	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	218										
37	36	106	106	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	219		ornamentShortTrill		28						
37	36	213/2	213/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	220				28						
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	221										
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	222		articAccentAbove		30						
37	36	106	106	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	223				29						
37	36	213/2	213/2	1.5	1/8	1/8	Chord	3/4	2	1	3/8		1/4	3/2	224				29						
37	36	107	107	0.0	1/4	1/4	Spanner	3/4	2	1	0									16	16				
37	36	106	106	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	225					16	16				
37	36	107	107	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	226					16	16				
38	37	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	227				30						
38	37	219/2	219/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	228				30						
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	229		ornamentShortTrill		30						
38	37	111	111	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230				30						
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	231				30						
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0														
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0									17	17				
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232					17	17				
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	233					17	17				
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	234					17	17				
39	38	112	112	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	235										
39	38	112	112	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	236										
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0														
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0									18	18				
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	237					18	18				
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	238					18	18				
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239					18	18				
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	240				31						
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	241				31						
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	242		ornamentShortTrill		31						
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	243				31						
40	39	115	115	0.0	0	0	Spanner	3/4	2	1	0														
40	39	115	115	0.0	0	0	Spanner	3/4	2	1	0									19	19				
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	244					19	19				
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	245					19	19				
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	246					19	19				
41	40	118	118	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	247										
41	40	118	118	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	248										
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	249		articAccentAbove								
41	40	118	118	0.0	0	0	Spanner	3/4	2	1	0														
