mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	40									5						
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	41									5						
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	42															
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43		articStaccatoBelow													
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44															
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45															
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	46									6						
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	47									6						
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	48									6						
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49		articStaccatoBelow													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50		articAccentAbove							7						
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51															
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52															
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	53															
11	11	123/4	123/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														0					
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	54									8	0					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	55									8	0					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56									8	0					
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	57									8	0					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58										0					
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59															
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	60															
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																			
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	61									9						
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	62									9						
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	63									9						
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	64		articStaccatissimoAbove													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	65		articAccentBelow							10						
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66															
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67															
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	68		articStaccatissimoBelow													
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	69									11						
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	70									11						
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	71									11						
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	72									11						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73															
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74															
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75															
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	76									12						
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	77									12						
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	78									12						
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	79		articStaccatissimoBelow													
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	80		articAccentAbove													
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81															
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82															
15	15	42	42	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	83															
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	84															
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	85									13						
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	86									13						
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	87									13						
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88									13						
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89															
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90															
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91															
16	16	45	45	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	92															
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	93															
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	94		ornamentShortTrill													
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	95									14						
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	96															
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97															
17	17	48	48	0.0	0	0	StaffText	3/4	1	1	0							rubato												
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	98		articStaccatissimoBelow													
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	99									15						
17	17	49	49	0.0	1/4	1/4	Spanner	3/4	1	1	0													15	1					
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	100									15	1					
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	101									15	1					
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	102									15	1					
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103										1					
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	104															
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105															
18	18	51	51	0.0	0	0	Spanner	3/4	1	1	0																			
18	18	51	51	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	106									16						
18	18	154/3	154/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	107									16						
18	18	155/3	155/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	108									16						
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109															
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	110		articAccentAbove							17						
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111															
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	112															
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	113		articStaccatissimoAbove													
19	19	219/4	219/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														2					
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	114									18	2					
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	115									18	2					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	116									18	2					
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117									18	2					
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118										2					
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119															
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120															
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0																			
20	20	57	57	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	121									19						
20	20	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	122									19						
20	20	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	123									19						
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	124		articStaccatissimoAbove													
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	125		articAccentBelow							20						
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126															
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127															
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	128		articStaccatissimoBelow													
21	21	243/4	243/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														3					
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	129									21	3					
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130									21	3					
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131									21	3					
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132									21	3					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133										3					
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134															
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135															
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0																			
22	22	63	63	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	136									22						
22	22	190/3	190/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	137									22						
22	22	191/3	191/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	138									22						
22	22	64	64	0.0	1/4	1/4	Spanner	3/4	1	1	0															0				
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	139		articStaccatissimoBelow									0				
22	22	65	65	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140		articAccentAbove													
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141															
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142															
23	23	66	66	0.0	0	0	StaffText	3/4	1	1	0							con forza												
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0														4					
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	143										4					
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	144										4					
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	145		articStaccatoBelow							23	4					
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	1	1	0													23						
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146		articStaccatoBelow							23						
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147		articStaccatoBelow							23						
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148									23						
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149															
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150															
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151															
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	152		articMarcatoAbove							24						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153															
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	154		articAccentBelow													
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0					p														
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							stretto												
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	155									25						
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	156															
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	157		articStaccatissimoBelow													
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	158									26						
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	159															
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160															
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161															
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162															
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	163									27						
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	164															
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	165		articStaccatissimoBelow													
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	166									28						
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	167															
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	168															
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	169															
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	170															
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	171									29						
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	172									29						
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	173		ornamentShortTrill							29						
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	174									29						
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	175									29						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	176															
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177															
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178															
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179															
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180		articStaccatissimoBelow													
28	28	327/4	327/4	0.0	3/16	3/16	Spanner	3/4	1	1	0														5					
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	181									30	5					
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	182									30	5					
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183									30	5					
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184									30	5					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185										5					
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186		articStaccatoAbove													
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187									31						
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	188															
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							dolce												
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0																			
29	29	84	84	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	189															
29	29	84	84	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	190															
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	191															
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	192		ornamentShortTrill													
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	193									32						
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194									32						
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																		0	0
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	195		articStaccatoBelow												0	0
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	196														0	0
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197														0	0
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	198									32						
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	199									32						
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	1	1	0														6					
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	200										6					
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201									33	6					
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202									33	6					
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																			
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																		1	1
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203		articStaccatoBelow												1	1
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204														1	1
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205														1	1
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0																0			
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0																0			
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	206												0			
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	207									34			0			
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	1	1	0													34						
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	208		ornamentTrill							34						
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	209									34						
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	210									34						
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																		2	2
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																		2	2
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	211		articStaccatoBelow												2	2
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	212														2	2
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213														2	2
32	32	93	93	0.0	0	0	Spanner	3/4	1	1	0													34	7					
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	214									34	7					
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	215									34	7					
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	216															
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																			
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																		3	3
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217		articStaccatoBelow												3	3
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	2	1	0														8					
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218										8					
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	219										8					
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	220										8					
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	221										8					
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					p														
33	33	96	96	0.0	0	0	StaffText	3/4	1	1	0							stretto												
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222									35						
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	223															
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224		articStaccatissimoBelow													
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	225									36						
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	226															
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																			
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	227															
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	228															
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229															
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	230									37						
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	231															
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	232		articStaccatissimoBelow													
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	233									38						
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	234															
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235															
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236															
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237															
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238									39						
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	239									39						
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	240		ornamentShortTrill							39						
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	241									39						
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	242									39						
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	243									39						
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	244															
