mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	67															
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																			
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																	5	5	
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68		articStaccatissimoBelow											5	5	
10	9	26	26	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	69		articAccentBelow											5	5	
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	70													5	5	
11	10	28	28	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	71									8						
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	72									8						
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	73		articStaccatoAbove													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	74		articStaccatoAbove													
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																			
11	10	28	28	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	75		articStaccatoBelow													
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	76		articStaccatoBelow													
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77		articStaccatoBelow													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78		articStaccatoBelow													
12	11	31	31	0.0	0	0	Dynamic	3/4	1	1	0					fz														
12	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	79		articStaccatissimoBelow													
12	11	32	32	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	80		articAccentAbove													
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81									9						
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0																	6	6	
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82		articStaccatissimoBelow											6	6	
12	11	32	32	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	83		articAccentBelow											6	6	
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	84													6	6	
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	85		articStaccatoAbove													
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	86									10						
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87		articStaccatoAbove							10						
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88		articStaccatoAbove													
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																			
13	12	34	34	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	89															
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	90															
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91															
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92															
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	93		articStaccatissimoBelow													
14	13	38	38	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	94		articAccentAbove													
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	95															
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																	7	7	
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96		articStaccatissimoBelow											7	7	
14	13	38	38	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	97		articAccentBelow											7	7	
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	98													7	7	
15	14	40	40	0.0	0	0	Spanner	3/4	1	1	0																0			
15	14	40	40	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	99									11			0			
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	100									11			0			
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	101									11			0			
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	102									11			0			
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0																			
15	14	40	40	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	103															
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	104															
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105															
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106															
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107												0			
16	15	87/2	87/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108									12						
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109									12						
16	15	45	45	0.0	1/2	1/2	StaffText	3/4	1	1	0							dim.						12						
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	110									12						
16	15	43	43	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	111		articStaccatissimoBelow													
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	112									13						
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113									13						
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114									13						
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatissimoAbove													
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	116									14						
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	117									14						
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118									14						
17	16	46	46	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	119		articStaccatissimoBelow													
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	120									15						
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121									15						
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122															
18	17	49	49	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	123									16						
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	124									16						
18	17	51	51	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	125									16						
18	17	51	51	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	126									16						
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	127									16						
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	128									16						
18	17	49	49	0.0	0	0	Dynamic	3/4	1	2	0					f														
18	17	49	49	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	129									17						
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	130									17						
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	131									17						
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																	8	8	
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	132													8	8	
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133													8	8	
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134													8	8	
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	135															
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	136									18						
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	137															
19	18	52	52	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	138															
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	139															
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	140															
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	141													8	8	
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	142															
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	143															
20	19	55	55	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	144									19						
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	145									19						
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	146									19						
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	147									19						
20	19	55	55	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	148															
20	19	55	55	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	149															
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	150															
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	3	1/8		1/8	1	151															
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	3	1/8		1/8	1	152															
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153															
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154															
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155															
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	156															
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	157															
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	1	1	0																1			
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158												1			
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	159												1			
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																	9	9	
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160													9	9	
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161													9	9	
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162													9	9	
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0																			
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0															1				
22	21	61	61	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	163											1				
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	164											1				
22	21	63	63	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165															
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166															
22	21	61	61	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	167															
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	168															
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	169															
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0																			
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170															
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171															
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172															
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	173		articStaccatissimoAbove													
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	174															
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	175		articStaccatoAbove							20						
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	176		articStaccatoAbove													
23	22	64	64	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	177															
23	22	64	64	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	178		articStaccatissimoAbove													
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	179									21						
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180									21						
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181															
24	23	67	67	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	182									22						
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183									22						
24	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184									22						
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185									22						
24	23	67	67	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	186									23						
24	23	68	68	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	187															
24	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	188															
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	189															
24	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	190															
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	191															
24	23	67	67	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	192															
24	23	68	68	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	193															
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	194		articStaccatissimoBelow													
25	24	283/4	283/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	195									24						
25	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	196		articStaccatoBelow													
25	24	72	72	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	197															
25	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	198		articStaccatissimoAbove													
25	24	283/4	283/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	199									25						
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200		articStaccatoAbove													
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201															
26	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0					fz														
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	202		articStaccatissimoBelow													
26	25	74	74	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	203		articAccentAbove													
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204															
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																	10	10	
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205		articStaccatissimoBelow											10	10	
26	25	74	74	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	206		articAccentBelow											10	10	
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	207													10	10	
27	26	76	76	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	208									26						
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	209									26						
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	210		articStaccatoAbove													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211		articStaccatoAbove													
27	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																			
27	26	76	76	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	212		articStaccatoBelow													
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	213		articStaccatoBelow													
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214		articStaccatoBelow													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	215		articStaccatoBelow													
28	27	79	79	0.0	0	0	Dynamic	3/4	1	1	0					fz														
28	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	216		articStaccatissimoBelow													
28	27	80	80	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	217		articAccentAbove													
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	218									27						
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	219		articStaccatissimoBelow													
28	27	80	80	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	220		articAccentBelow													
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	221															
29	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222		articStaccatoAbove													
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	223									28						
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	224		articStaccatoAbove							28						
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225		articStaccatoAbove													
29	28	82	82	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	226															
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	227															
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	228															
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229															
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	230		articStaccatissimoBelow													
30	29	86	86	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	231		articAccentAbove													
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232															
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	233		articStaccatissimoBelow													
30	29	86	86	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	234		articAccentBelow													
30	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	235															
31	30	88	88	0.0	0	0	Spanner	3/4	1	1	0																2			
31	30	88	88	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	236									29			2			
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	237									29			2			
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	238									29			2			
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	239									29			2			
31	30	88	88	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	240															
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	241															
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	242															
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	243															
