mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	HairPin:3_decresc.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	109																	
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110																	
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111		articAccentAbove															
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112																	
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113		articStaccatoBelow								17							
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114		articStaccatoBelow								17							
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115		articStaccatoBelow															
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	116																	
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117																	
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118		articAccentAbove															
20	20	57	57	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	119																	
20	20	57	57	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	120																	
20	20	57	57	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	121		articAccentBelow															
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122		articAccentAbove															
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123																	
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124		articAccentAbove															
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					f																
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	125		articStaccatissimoBelow															
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	126										18							
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	127																	
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	128		articAccentBelow															
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																				3	3
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	129																3	3
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130																3	3
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131																3	3
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0															1						
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	132		articStaccatissimoBelow									1						
22	22	255/4	255/4	0.0	3/16	3/16	Spanner	3/4	1	1	0																					
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	133										19							
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	134																	
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	135		articAccentAbove															
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																					
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																				4	4
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	136																4	4
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137																4	4
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138		articAccentAbove														4	4
23	23	66	66	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	139										20							
23	23	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	140										20							
23	23	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	141																	
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	1	1	0																			1		
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	142		articStaccatissimoAbove													1		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	143										21					1		
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	144										21					1		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	145										21					1		
23	23	66	66	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	146															1		
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0																					
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	147																	
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148																	
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149																	
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0																					
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150		articStaccatissimoAbove															
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	151										22							
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	152		articAccentAbove															
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	153																	
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154																	
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155																	
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	156										23							
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	157										23							
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	158																	
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	159		articStaccatissimoAbove															
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	160										24							
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	161										24							
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	162										24							
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	163																	
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	164																	
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165																	
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166																	
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167		articStaccatissimoAbove															
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168										25							
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	169		articAccentAbove															
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170																	
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171																	
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172																	
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	173		articStaccatissimoAbove															
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	174										26							
27	27	79	79	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	175		articAccentBelow															
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																				5	5
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	176																5	5
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	177																5	5
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178																5	5
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	179		articStaccatissimoAbove															
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	180										27							
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	181		articAccentBelow															
28	28	327/4	327/4	2.0	3/16	3/16	Chord	3/4	1	2	1/2		1/2	1	182		articAccentAbove															
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																					
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																				6	6
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	183																6	6
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184																6	6
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	185																6	6
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					p																
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	186		articStaccatoBelow								28							
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	187		articStaccatoBelow								28							
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	188		articStaccatoBelow								28							
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	189		articStaccatoBelow															
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																					
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	190																	
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191																	
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	192		articAccentAbove															
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	193																	
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	194																	
30	30	87	87	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	195		articAccentBelow								29							
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196																	
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	197																	
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198		articAccentAbove															
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199																	
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	200		articStaccatoBelow								30							
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	201		articStaccatoBelow								30							
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	202		articStaccatoBelow															
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203																	
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204																	
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205		articAccentAbove															
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	206																	
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	207																	
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	208																	
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	209																	
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	210																	
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211		articAccentAbove															
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					ff																
33	33	96	96	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	212		articStaccatissimoAbove															
33	33	387/4	387/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	213		articStaccatissimoAbove															
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	214		articAccentAbove															
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																				7	7
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	215																7	7
33	33	97	97	0.0	1/4	1/4	Spanner	3/4	2	1	0																				7, 8	7, 8
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216																7, 8	7, 8
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	217		articStaccatissimoAbove															
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218										31							
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	219										31							
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	220										31							
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	221										31							
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																					
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																					
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																				9	9
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	222																9	9
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	223																9	9
35	35	102	102	0.0	0	0	Dynamic	3/4	1	1	0					p																
35	35	102	102	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	224																	
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	225																	
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	226										32							
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	227																	
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																					
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																				10	10
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	228																10	10
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	229										33						10	10
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230										33						10	10
36	36	105	105	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	231																	
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	232																	
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	233										34							
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	234																	
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0														33							
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0														33						11	11
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	235										33						11	11
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236										33						11	11
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237																11	11
37	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					ff																
