mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0														3	3			
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	32		articStaccatoBelow								3	3			
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	33										3	3			
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	34										3	3			
7	6	16	16	0.0	0	0	Spanner	3/4	1	1	0																		
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	35		articStaccatissimoAbove												
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36									3					
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	37									3					
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	38									3					
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	39		articAccentAbove							3					
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0																		
7	6	16	16	0.0	0	0	Spanner	3/4	2	1	0														4	4			
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40		articStaccatoAbove								4	4			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	41										4	4			
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42										4	4			
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	43		articStaccatoAbove							4					
8	7	79/4	79/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	44									4, 5					
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	45									4					
8	7	83/4	83/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	46									4, 6					
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	47														
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0																		
8	7	19	19	0.0	0	0	Spanner	3/4	2	1	0														5	5			
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48										5	5			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	49										5	5			
8	7	19	19	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	50										5	5			
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	51		articStaccatoAbove							7					
9	8	91/4	91/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	52									7, 8					
9	8	23	23	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	53		articStaccatoAbove							7					
9	8	95/4	95/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	54									7, 9					
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	55														
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0																		
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0														6	6			
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56										6	6			
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57										6	6			
9	8	22	22	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	58										6	6			
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					fz													
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	59		articStaccatoAbove												
10	9	103/4	103/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	60		articStaccatoAbove							10					
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	61		articStaccatoAbove							10					
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62		articStaccatoAbove							10					
10	9	27	27	0.0	1/2	1/2	Spanner	3/4	1	1	0																1		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	63												1		
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0																		
10	9	25	25	0.0	0	0	Spanner	3/4	2	1	0														7	7			
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	64										7	7			
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65										7	7			
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66										7	7			
11	10	28	28	0.0	0	0	Spanner	3/4	1	1	0																		
11	10	28	28	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	67									11					
11	10	113/4	113/4	0.5	1/16	1/16	Chord	3/4	1	1	1/8		1/8	1	68		articStaccatoAbove												
11	10	29	29	0.0	1/4	1/4	Spanner	3/4	1	1	0																2		
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	69		ornamentShortTrill							12			2		
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70									12			2		
11	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71									12			2		
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72												2		
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0																		
11	10	28	28	0.0	0	0	Spanner	3/4	2	1	0														8	8			
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73									13	8	8			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74										8	8			
11	10	30	30	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
12	11	31	31	0.0	0	0	Dynamic	3/4	1	1	0					f													
12	11	31	31	0.0	0	0	Spanner	3/4	1	1	0																		
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75									14					
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	76									14					
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	77									14					
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	78									14					
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	79														
12	11	135/4	135/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	80									15					
12	11	31	31	0.0	0	0	Spanner	3/4	2	1	0														9	9			
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81										9	9			
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	82										9	9			
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	83										9	9			
13	12	34	34	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	84														
13	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	85		articAccentAbove												
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	86		articAccentAbove							16					
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0														10	10			
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0														10	10			
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87										10	10			
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88										10	10			
14	13	37	37	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	89									16					
14	13	151/4	151/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	90									16					
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	91									16					
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	92									16					
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																		
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0														11	11			
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93										11	11			
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	94										11	11			
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	95										11	11			
15	14	40	40	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	96		articAccentAbove							16					
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97									16					
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0																		
15	14	40	40	0.0	0	0	Spanner	3/4	2	1	0														12	12			
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98										12	12			
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99										12	12			
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100										12	12			
16	15	43	43	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	101									16					
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	102									16					
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	103									16					
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	104									16					
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105									16					
16	15	43	43	0.0	0	0	Spanner	3/4	2	1	0																		
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	106									17					
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	107									17					
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	108														
16	15	43	43	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	109														
17	16	46	46	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	110									16					
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	111		articAccentBelow							16					
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112														
17	16	46	46	0.0	0	0	Spanner	3/4	2	1	0														13	13			
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113										13	13			
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114										13	13			
18	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0					fz													
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatissimoAbove												
18	17	99/2	99/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																	1	
18	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	116		articStaccatoAbove							18				1	
18	17	50	50	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	117		articStaccatoAbove							18				1	
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	118		articStaccatoAbove							18				1	
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	1	1	0																3		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	119												3		
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																		
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0														14	14			
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	120		articStaccatoBelow								14	14			
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121										14	14			
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122										14	14			
19	18	52	52	0.0	0	0	Spanner	3/4	1	1	0																		
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	123		articStaccatissimoAbove												
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	124									19					
19	18	53	53	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	125									19					
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	126									19					
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127		articAccentAbove							19					
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																		
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0														15	15			
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	128										15	15			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129										15	15			
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	130										15	15			
20	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	131		articStaccatoAbove							20					
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	132									20, 21					
20	19	56	56	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	133									20					
20	19	227/4	227/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	134									20, 22					
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	135														
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																		
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	136														
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137														
20	19	55	55	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	138														
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139		articStaccatoAbove							23					
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	140									23, 24					
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141		articStaccatoAbove							23					
21	20	239/4	239/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	142									23, 25					
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	143														
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	144														
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	145														
21	20	58	58	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	146														
22	21	61	61	0.0	0	0	Dynamic	3/4	1	1	0					fz													
22	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	147														
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	148		articStaccatoAbove							26					
22	21	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	149		articStaccatoAbove							26					
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	150		articStaccatoAbove							26					
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	151		articAccentAbove												
22	21	61	61	0.0	0	0	Spanner	3/4	2	1	0														16	16			
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152										16	16			
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153										16	16			
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154										16	16			
23	22	64	64	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	155									27					
23	22	257/4	257/4	0.5	1/16	1/16	Chord	3/4	1	1	1/8		1/8	1	156		articStaccatoAbove												
23	22	65	65	0.0	1/4	1/4	Spanner	3/4	1	1	0																4		
23	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	157		ornamentShortTrill							28			4		
23	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	158									28			4		
23	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	159									28			4		
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	160												4		
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0																		
23	22	64	64	0.0	0	0	Spanner	3/4	2	1	0														17	17			
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	161									29	17	17			
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	162										17	17			
24	23	67	67	0.0	0	0	StaffText	3/4	1	1	0							leggiero											
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0																		
24	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	163									30					
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	164									30					
24	23	68	68	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	165									30					
24	23	205/3	205/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	166									30					
24	23	206/3	206/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	167									30					
24	23	69	69	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	168									30					
24	23	208/3	208/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	169									30					
24	23	209/3	209/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	170														
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0																		
24	23	67	67	0.0	0	0	Spanner	3/4	2	1	0														18	18			
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	171		articStaccatoBelow								18	18			
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172										18	18			
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173										18	18			
25	24	70	70	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	174									31					
25	24	211/3	211/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	175									31					
25	24	212/3	212/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	176														
25	24	71	71	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	177														
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0																		
25	24	70	70	0.0	0	0	Spanner	3/4	2	1	0														19	19			
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	178										19	19			
25	24	71	71	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	179		articAccentAbove								19	19			
26	25	73	73	0.0	0	0	StaffText	3/4	1	1	0							dolce											
26	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180									32					
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181									32					
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182									32					
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183									32					
26	25	73	73	0.0	0	0	Dynamic	3/4	1	2	0					p													
26	25	73	73	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	184														
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	185														
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	186														
26	25	73	73	0.0	0	0	Spanner	3/4	2	1	0																		
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	187		articStaccatoBelow												
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	188														
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189														
27	26	76	76	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	190														
27	26	76	76	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	191														
27	26	76	76	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	192														
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	193		articAccentAbove							33					
27	26	76	76	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	194														
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	195														
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	196														
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	197														
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	198														
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	199														
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	200									33					
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	201									33					
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202									33					
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203									33					
28	27	79	79	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	204														
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	205														
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	206														
28	27	79	79	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	207														
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	208														
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209														
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210														
29	28	82	82	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	211														
29	28	82	82	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	212														
29	28	82	82	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	213														
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	214		articAccentAbove												
29	28	82	82	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	215														
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	216														
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	217														
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	218														
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	219														
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220														
30	29	85	85	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	221									34					
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	222									34					
30	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	223									34					
30	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	224									34					
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	225		articAccentAbove												
30	29	85	85	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	226														
30	29	86	86	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	227														
30	29	85	85	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	228														
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229														
