mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	30												2	2	
5	5	14	14	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31														
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	32														
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	33														
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	34							7							
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	35							7							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	36														
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37														
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38														
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39		articStaccatoBelow												
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40							8							
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41							8							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42		ornamentShortTrill												
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	43														
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																3	3	
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	44												3	3	
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45												3	3	
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0															2			
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	46							9				2			
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	47											2			
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	48											2			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	49											2			
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																		
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																4	4	
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50												4	4	
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51												4	4	
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52												4	4	
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					f													
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																		
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	53														
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	54							10							
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	55							10							
9	9	26	26	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	56							10							
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	57							10							
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																		
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																5	5	
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	58												5	5	
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	59												5	5	
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	60							10							
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	61							10							
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	62							10							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	63							10							
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																6	6	
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	64												6	6	
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65												6	6	
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66												6	6	
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	67														
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	68														
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	69							11							
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	70							11							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	71		ornamentShortTrill					11							
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72							11							
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																		
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																7	7	
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73												7	7	
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74												7	7	
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75														
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	76							12							
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	77														
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	78														
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																		
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																8	8	
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79												8	8	
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80												8	8	
12	12	35	35	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81														
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	82														
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83							13							
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84							13							
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	85		ornamentShortTrill												
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	86							14							
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																9	9	
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87												9	9	
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	88												9	9	
13	13	38	38	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	89							14							
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	90							14							
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	91							14							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	92							14							
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																10	10	
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93												10	10	
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	94												10	10	
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	95														
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	96														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	97							15							
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	98							15							
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99		ornamentShortTrill					15							
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100							15							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	101														
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0																11	11	
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102												11	11	
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103												11	11	
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0															3			
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	104											3			
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	105											3			
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	106							16				3			
16	16	95/2	95/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											16							
16	16	45	45	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	107														
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	108														
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	109														
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	110														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	111														
16	16	95/2	95/2	0.0	5/8	5/8	Dynamic	3/4	1	2	0					p													
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	112														
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114														
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115														
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	116							16							
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	117							16							
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	118							16							
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	119							16							
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	120							16							
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	121							16							
17	17	48	48	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	122														
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123														
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	124														
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125														
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126														
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127														
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	128							16							
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	129							16							
18	18	52	52	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	130							16							
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	131							16							
18	18	51	51	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	132														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	133														
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	134														
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	135														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	136														
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137														
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	138							16							
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	139							16							
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	140							16							
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	141							16							
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	142							16							
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	143							16							
19	19	54	54	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	144														
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	145														
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	146														
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	147														
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148														
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149														
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0											16			0				
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150							16			0				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151							16			0				
20	20	58	58	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	152							16			0				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	153							16			0				
20	20	57	57	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	154										0				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	155										0				
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	156										0				
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157														
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158														
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159														
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	160							16			0				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	161							16			0				
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	162							16			0				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	163							16			0				
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	164							16			0				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	165							16			0				
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	166										0				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	167										0				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	168										0				
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169														
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170							17							
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	171														
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0											16							
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	172							16							
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	173							16							
22	22	64	64	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	174							16							
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	175							16							
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	176														
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	177														
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	178														
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179							18							
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180														
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181														
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0											16			1				
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	182							16			1				
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	183							16			1				
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	184							16			1				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	185							16			1				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	186							16			1				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	187							16			1				
23	23	66	66	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	188										1				
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	189										1				
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	190										1				
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	191														
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	192														
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	193														
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0																		
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	194														
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	195														
24	24	70	70	0.0	1/4	1/4	StaffText	3/4	1	1	0							ten.											
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	196							19							
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	197														
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	198														
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199							20							
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200														
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0														2				
25	25	72	72	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	201										2				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	202							21			2				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203							21			2				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204							21			2				
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																12	12	
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205												12	12	
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206												12	12	
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	207							21			2				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	208							21			2				
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	209							21			2				
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	210							21			2				
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	211							21			2				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212							21			2				
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																		
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0																		
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0															4			
27	27	78	78	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	213											4			
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	214							22				4			
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215							22				4			
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216							22				4			
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																13	13	
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217												13	13	
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	218												13	13	
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219												13	13	
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	220							22				4			
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	221							22				4			
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	222							22				4			
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223							22				4			
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	224							22				4			
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225							22				4			
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																		
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																14	14	
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	226												14	14	
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227												14	14	
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0											22							
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0											22			3				
29	29	84	84	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	228							22			3				
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	229							22			3				
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230							22			3				
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	231							22			3				
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																		
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																15	15	
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232												15	15	
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	233												15	15	
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	234							22			3				
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	235							22			3				
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	236							22			3				
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	237							22			3				
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	238							22			3				
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239							22			3				
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																		
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0											22							
31	31	90	90	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	240							22							
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	241							22							
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	1	1	0											22	0						
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	242							22	0						
